height,weight,born
188,79,1931
188,83,1935
196,95,1935
193,86,1933
201,99,1934
198,98,1932
203,104,1935
193,88,1930
188,83,1933
196,102,1934
198,95,1935
193,90,1933
198,92,1936
201,79,1935
203,92,1936
206,100,1936
196,83,1936
203,108,1937
201,95,1936
198,97,1937
188,79,1936
198,86,1935
190,88,1936
196,97,1932
196,97,1932
180,83,1936
196,92,1936
203,101,1933
206,99,1936
206,97,1936
183,83,1935
188,83,1934
201,92,1936
203,99,1933
206,102,1936
190,90,1937
193,86,1936
183,81,1932
216,124,1936
203,104,1937
196,90,1933
196,99,1937
196,95,1936
201,95,1937
188,88,1935
201,99,1937
190,86,1935
193,90,1937
206,102,1937
206,99,1938
193,86,1937
190,83,1936
185,72,1933
183,79,1936
203,97,1937
198,92,1938
193,81,1938
221,106,1933
208,99,1938
203,97,1938
203,97,1938
190,83,1936
180,81,1938
196,95,1938
193,90,1936
185,77,1938
201,97,1938
190,86,1936
198,97,1936
196,92,1938
198,95,1938
188,79,1938
185,81,1937
193,95,1936
211,102,1939
185,79,1939
185,79,1939
201,95,1937
206,95,1938
198,102,1939
188,90,1936
188,79,1938
175,72,1938
178,77,1937
180,81,1939
180,81,1939
185,83,1938
201,99,1938
206,95,1938
193,83,1938
198,92,1939
188,83,1939
198,97,1938
185,79,1938
208,102,1939
198,95,1939
190,85,1939
203,106,1938
206,97,1938
201,99,1939
196,99,1938
185,81,1936
196,86,1939
188,83,1937
190,95,1937
193,97,1938
203,106,1937
185,79,1939
185,81,1938
206,102,1939
198,103,1939
203,108,1941
193,81,1936
198,99,1940
201,85,1940
203,90,1940
193,79,1922
208,95,1940
198,86,1940
190,77,1939
201,86,1937
203,102,1938
196,92,1940
203,87,1940
203,87,1940
190,86,1940
206,102,1939
188,81,1940
196,99,1940
198,95,1940
188,77,1939
203,99,1940
198,92,1940
198,99,1941
196,95,1939
193,97,1934
183,83,1940
183,83,1940
188,86,1940
198,96,1940
196,90,1936
185,81,1940
193,92,1940
208,95,1937
188,79,1938
